County,Species,Virus,CollectionDate,Month,Year,CountofCounty
Essex,Ochlerotatus triseriatus,WNV,September 2014,September,2014,1
Franklin,Coquillettidia perturbans,EEE,July 2020,July,2020,2
Franklin,Culex pipiens/restuans complex,WNV,July 2017,July,2017,3
Franklin,Culex pipiens/restuans complex,WNV,July 2019,July,2019,1
Franklin,Culex pipiens/restuans complex,WNV,August 2015,August,2015,2
Franklin,Culex pipiens/restuans complex,WNV,August 2017,August,2017,12
Franklin,Culex pipiens/restuans complex,WNV,August 2018,August,2018,33
Franklin,Culex pipiens/restuans complex,WNV,September 2016,September,2016,2
Franklin,Culex pipiens/restuans complex,WNV,September 2017,September,2017,5
Franklin,Culex pipiens/restuans complex,WNV,September 2018,September,2018,11
Hampden,Coquillettidia perturbans,EEE,August 2019,August,2019,2
Hampden,Coquillettidia perturbans,EEE,September 2019,September,2019,1
Hampden,Culex pipiens/restuans complex,WNV,July 2016,July,2016,1
Hampden,Culex pipiens/restuans complex,WNV,July 2018,July,2018,6
Hampden,Culex pipiens/restuans complex,WNV,August 2016,August,2016,4
Hampden,Culex pipiens/restuans complex,WNV,August 2017,August,2017,24
Hampden,Culex pipiens/restuans complex,WNV,August 2018,August,2018,16
Hampden,Culex pipiens/restuans complex,WNV,August 2019,August,2019,1
Hampden,Culex pipiens/restuans complex,WNV,September 2015,September,2015,3
Hampden,Culex pipiens/restuans complex,WNV,September 2017,September,2017,8
Hampden,Culex pipiens/restuans complex,WNV,September 2018,September,2018,3
Hampden,Culex pipiens/restuans complex,WNV,September 2020,September,2020,1
Hampden,Culex salinarius,EEE,August 2019,August,2019,1
Hampden,Culex species,WNV,July 2017,July,2017,2
Hampden,Culiseta melanura,EEE,August 2019,August,2019,2
Hampden,Culiseta melanura,EEE,September 2019,September,2019,1
Hampden,Ochlerotatus japonicus,WNV,July 2018,July,2018,2
Hampshire,Coquillettidia perturbans,WNV,July 2018,July,2018,1
Hampshire,Culex pipiens/restuans complex,WNV,July 2017,July,2017,2
Hampshire,Culex pipiens/restuans complex,WNV,July 2018,July,2018,4
Hampshire,Culex pipiens/restuans complex,WNV,August 2016,August,2016,1
Hampshire,Culex pipiens/restuans complex,WNV,August 2017,August,2017,10
Hampshire,Culex pipiens/restuans complex,WNV,August 2018,August,2018,11
Hampshire,Culex pipiens/restuans complex,WNV,August 2019,August,2019,1
Hampshire,Culex pipiens/restuans complex,WNV,September 2015,September,2015,3
Hampshire,Culex pipiens/restuans complex,WNV,September 2017,September,2017,5
Hampshire,Culex pipiens/restuans complex,WNV,September 2018,September,2018,7
Middlesex,Aedes vexans,WNV,September 2018,September,2018,1
Middlesex,Anopheles quadrimaculatus sl,WNV,August 2018,August,2018,1
Middlesex,Coquillettidia perturbans,EEE,July 2020,July,2020,1
Middlesex,Coquillettidia perturbans,EEE,August 2019,August,2019,4
Middlesex,Coquillettidia perturbans,WNV,August 2016,August,2016,1
Middlesex,Coquillettidia perturbans,WNV,September 2018,September,2018,1
Middlesex,Coquillettidia perturbans,WNV,September 2019,September,2019,1
Middlesex,Culex pipiens/restuans complex,EEE,August 2019,August,2019,1
Middlesex,Culex pipiens/restuans complex,WNV,July 2014,July,2014,4
Middlesex,Culex pipiens/restuans complex,WNV,July 2015,July,2015,25
Middlesex,Culex pipiens/restuans complex,WNV,July 2016,July,2016,3
Middlesex,Culex pipiens/restuans complex,WNV,July 2017,July,2017,10
Middlesex,Culex pipiens/restuans complex,WNV,July 2018,July,2018,25
Middlesex,Culex pipiens/restuans complex,WNV,July 2019,July,2019,4
Middlesex,Culex pipiens/restuans complex,WNV,July 2020,July,2020,13
Middlesex,Culex pipiens/restuans complex,WNV,August 2014,August,2014,5
Middlesex,Culex pipiens/restuans complex,WNV,August 2015,August,2015,24
Middlesex,Culex pipiens/restuans complex,WNV,August 2016,August,2016,29
Middlesex,Culex pipiens/restuans complex,WNV,August 2017,August,2017,28
Middlesex,Culex pipiens/restuans complex,WNV,August 2018,August,2018,26
Middlesex,Culex pipiens/restuans complex,WNV,August 2019,August,2019,7
Middlesex,Culex pipiens/restuans complex,WNV,August 2020,August,2020,9
Middlesex,Culex pipiens/restuans complex,WNV,September 2014,September,2014,3
Middlesex,Culex pipiens/restuans complex,WNV,September 2015,September,2015,18
Middlesex,Culex pipiens/restuans complex,WNV,September 2016,September,2016,4
Middlesex,Culex pipiens/restuans complex,WNV,September 2017,September,2017,6
Middlesex,Culex pipiens/restuans complex,WNV,September 2018,September,2018,10
Middlesex,Culex pipiens/restuans complex,WNV,September 2020,September,2020,6
Middlesex,Culex salinarius,EEE,August 2019,August,2019,1
Middlesex,Culex species,EEE,August 2019,August,2019,3
Middlesex,Culex species,EEE,September 2014,September,2014,1
Middlesex,Culex species,WNV,July 2017,July,2017,1
Middlesex,Culex species,WNV,July 2018,July,2018,7
Middlesex,Culex species,WNV,July 2019,July,2019,1
Middlesex,Culex species,WNV,August 2017,August,2017,5
Middlesex,Culex species,WNV,August 2018,August,2018,35
Middlesex,Culex species,WNV,August 2019,August,2019,2
Middlesex,Culex species,WNV,September 2017,September,2017,5
Middlesex,Culex species,WNV,September 2018,September,2018,3
Middlesex,Culiseta melanura,EEE,August 2019,August,2019,1
Middlesex,Ochlerotatus canadensis,WNV,September 2018,September,2018,1
Norfolk,Coquillettidia perturbans,EEE,August 2019,August,2019,9
Norfolk,Coquillettidia perturbans,EEE,August 2020,August,2020,1
Norfolk,Coquillettidia perturbans,WNV,August 2016,August,2016,1
Norfolk,Coquillettidia perturbans,WNV,August 2017,August,2017,2
Norfolk,Coquillettidia perturbans,WNV,August 2020,August,2020,2
Norfolk,Culex pipiens/restuans complex,EEE,August 2019,August,2019,1
Norfolk,Culex pipiens/restuans complex,WNV,June 2018,June,2018,1
Norfolk,Culex pipiens/restuans complex,WNV,July 2014,July,2014,1
Norfolk,Culex pipiens/restuans complex,WNV,July 2015,July,2015,9
Norfolk,Culex pipiens/restuans complex,WNV,July 2016,July,2016,3
Norfolk,Culex pipiens/restuans complex,WNV,July 2017,July,2017,1
Norfolk,Culex pipiens/restuans complex,WNV,July 2018,July,2018,9
Norfolk,Culex pipiens/restuans complex,WNV,July 2019,July,2019,2
Norfolk,Culex pipiens/restuans complex,WNV,July 2020,July,2020,2
Norfolk,Culex pipiens/restuans complex,WNV,August 2014,August,2014,1
Norfolk,Culex pipiens/restuans complex,WNV,August 2015,August,2015,5
Norfolk,Culex pipiens/restuans complex,WNV,August 2016,August,2016,16
Norfolk,Culex pipiens/restuans complex,WNV,August 2017,August,2017,5
Norfolk,Culex pipiens/restuans complex,WNV,August 2018,August,2018,18
Norfolk,Culex pipiens/restuans complex,WNV,August 2020,August,2020,11
Norfolk,Culex pipiens/restuans complex,WNV,September 2015,September,2015,2
Norfolk,Culex pipiens/restuans complex,WNV,September 2016,September,2016,8
Norfolk,Culex pipiens/restuans complex,WNV,September 2017,September,2017,3
Norfolk,Culex pipiens/restuans complex,WNV,September 2018,September,2018,6
Norfolk,Culex pipiens/restuans complex,WNV,September 2019,September,2019,2
Norfolk,Culex pipiens/restuans complex,WNV,September 2020,September,2020,3
Norfolk,Culex salinarius,EEE,August 2019,August,2019,1
Norfolk,Culex salinarius,WNV,August 2020,August,2020,3
Norfolk,Culiseta melanura,EEE,August 2019,August,2019,5
Norfolk,Culiseta melanura,WNV,August 2015,August,2015,1
Norfolk,Culiseta melanura,WNV,August 2019,August,2019,1
Plymouth,Aedes vexans,EEE,July 2019,July,2019,2
Plymouth,Aedes vexans,EEE,August 2020,August,2020,1
Plymouth,Coquillettidia perturbans,EEE,July 2014,July,2014,4
Plymouth,Coquillettidia perturbans,EEE,July 2019,July,2019,24
Plymouth,Coquillettidia perturbans,EEE,July 2020,July,2020,17
Plymouth,Coquillettidia perturbans,EEE,August 2019,August,2019,32
Plymouth,Coquillettidia perturbans,EEE,August 2020,August,2020,20
Plymouth,Coquillettidia perturbans,EEE,September 2014,September,2014,1
Plymouth,Coquillettidia perturbans,EEE,September 2019,September,2019,1
Plymouth,Coquillettidia perturbans,WNV,July 2019,July,2019,4
Plymouth,Coquillettidia perturbans,WNV,July 2020,July,2020,1
Plymouth,Coquillettidia perturbans,WNV,August 2019,August,2019,2
Plymouth,Coquillettidia perturbans,WNV,August 2020,August,2020,1
Plymouth,Coquillettidia perturbans,WNV,September 2018,September,2018,2
Plymouth,Culex pipiens/restuans complex,EEE,July 2016,July,2016,1
